id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
215,Cellulose casing - 21E*84,Cellulose Casings,Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Ingreva Cellulose Casing.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cellulose casing - 23E*84; Cellulose casing - 26E*84; Cellulose casing - 28E*84; Frankfurte casing 24/84; Smoked casing - 23E*84,Ingreva Cellulose Casing.pdf,Cellulose Casing,AWA Food Additives,Ingreva,,24 months,,Cellulose casing - 21E*84,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Cellulose casing - 21E*84, food grade industrial ingredient."
216,Cellulose casing - 28E*84,Cellulose Casings,Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Ingreva Cellulose Casing.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cellulose casing - 23E*84; Cellulose casing - 26E*84; Cellulose casing - 21E*84; Frankfurte casing 24/84; Smoked casing - 23E*84,Ingreva Cellulose Casing.pdf,Cellulose Casing,AWA Food Additives,Ingreva,,24 months,,Cellulose casing - 28E*84,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Cellulose casing - 28E*84, food grade industrial ingredient."
217,Chlorophyll,Chlorophyll Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Vibrant olive-to-bright green natural coloration (E140/E141).,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Chlorophyll OS; Chlorophyll WS 14 %; Chlorophyll WS 20 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Chlorophyll,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Chlorophyll, food grade industrial ingredient."
218,Chlorophyll OS,Chlorophyll Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Vibrant olive-to-bright green natural coloration (E140/E141).,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Chlorophyll; Chlorophyll WS 14 %; Chlorophyll WS 20 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Chlorophyll OS,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Chlorophyll OS, food grade industrial ingredient."
219,Chlorophyll WS 14 %,Chlorophyll Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Vibrant olive-to-bright green natural coloration (E140/E141).,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Chlorophyll; Chlorophyll OS; Chlorophyll WS 20 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Chlorophyll WS 14 %,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Chlorophyll WS 14 %, food grade industrial ingredient."
220,Chlorophyll WS 20 %,Chlorophyll Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Vibrant olive-to-bright green natural coloration (E140/E141).,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Chlorophyll; Chlorophyll OS; Chlorophyll WS 14 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Chlorophyll WS 20 %,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Chlorophyll WS 20 %, food grade industrial ingredient."
221,Citric Acid Anhydrous-25kg,Citric Acid,Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,"Provides crisp tart acidity, enhances fruit flavor perception, and regulates formulation pH.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Citric Acid Monohydrate,Bio Ingredints Portfolio B2B.PDF,Food Additive / Preservative / Buffer,AWA Food Solutions,AWA Food Solutions,,24 months,,Citric Acid Anhydrous-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Citric Acid Anhydrous-25kg, food grade industrial ingredient."
222,Citric Acid Monohydrate,Citric Acid,Bakery,Cake & Bakery,Sponge Cake / Muffin,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Citric Acid Anhydrous-25kg,Bio Ingredints Portfolio B2B.PDF,Food Additive / Preservative / Buffer,AWA Food Solutions,AWA Food Solutions,,24 months,,Citric Acid Monohydrate,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Citric Acid Monohydrate, food grade industrial ingredient."
223,Cocoa Butter Substitute-local-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Powder G100-25kg; Cocoa Powder JB800-25kg; Cocoa Powder S9-25kg; Cocoa Powder SL60-25kg; Cocoa Powder SP70-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Butter Substitute-local-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Butter Substitute-local-25kg, food grade industrial ingredient."
224,Cocoa Powder G100-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder JB800-25kg; Cocoa Powder S9-25kg; Cocoa Powder SL60-25kg; Cocoa Powder SP70-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder G100-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder G100-25kg, food grade industrial ingredient."
225,Cocoa Powder JB800-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder G100-25kg; Cocoa Powder S9-25kg; Cocoa Powder SL60-25kg; Cocoa Powder SP70-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder JB800-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder JB800-25kg, food grade industrial ingredient."
226,Cocoa Powder S9-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder G100-25kg; Cocoa Powder JB800-25kg; Cocoa Powder SL60-25kg; Cocoa Powder SP70-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder S9-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder S9-25kg, food grade industrial ingredient."
227,Cocoa Powder SL60-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder G100-25kg; Cocoa Powder JB800-25kg; Cocoa Powder S9-25kg; Cocoa Powder SP70-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder SL60-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder SL60-25kg, food grade industrial ingredient."
228,Cocoa Powder SP70-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder G100-25kg; Cocoa Powder JB800-25kg; Cocoa Powder S9-25kg; Cocoa Powder SL60-25kg; Cocoa Powder V98-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder SP70-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder SP70-25kg, food grade industrial ingredient."
229,Cocoa Powder V98-25kg,Cocoa Powders & Fats,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cocoa Butter Substitute-local-25kg; Cocoa Powder G100-25kg; Cocoa Powder JB800-25kg; Cocoa Powder S9-25kg; Cocoa Powder SL60-25kg; Cocoa Powder SP70-25kg,Bio Ingredints Portfolio B2B.PDF,Cocoa Powder & Fats,AWA Food Solutions,AWA Food Solutions,,24 months,,Cocoa Powder V98-25kg,25 kg bags,"Store in a cool, dry place away from direct sunlight",None declared,,"Cocoa Powder V98-25kg, food grade industrial ingredient."
230,Curcumin WS 10 %,Curcumin Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Brilliant lemon-yellow natural shade with clean sensory profile.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Curcumin WS 15 %; Curcumin WS 5 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Curcumin WS 10 %,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Curcumin WS 10 %, food grade industrial ingredient."
231,Curcumin WS 15 %,Curcumin Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Brilliant lemon-yellow natural shade with clean sensory profile.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Curcumin WS 10 %; Curcumin WS 5 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Curcumin WS 15 %,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Curcumin WS 15 %, food grade industrial ingredient."
232,Curcumin WS 5 %,Curcumin Natural Color,Confectionery,Sugar Confectionery,Hard / Soft Candies,Brilliant lemon-yellow natural shade with clean sensory profile.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Natural Colors (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Curcumin WS 10 %; Curcumin WS 15 %,Natural Colors (TDS)s.pdf,Food Color,AWA Food Solutions,AWA Food Solutions,,24 months,,Curcumin WS 5 %,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Curcumin WS 5 %, food grade industrial ingredient."
233,Dairy anti foam,Dairy anti foam,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Standardized food grade functional ingredient.,No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,Dairy anti foam,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Dairy anti foam, food grade industrial ingredient."
234,Dextrose Anhydrous-25kg,Dextrose,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Dextrose Monohydrate-25kg,Bio Ingredints Portfolio B2B.PDF,Sweetener / Carrier,AWA Food Solutions,AWA Food Solutions,,24 months,,Dextrose Anhydrous-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Dextrose Anhydrous-25kg, food grade industrial ingredient."
235,Dextrose Monohydrate-25kg,Dextrose,Bakery,Cake & Bakery,Sponge Cake / Muffin,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Dextrose Anhydrous-25kg,Bio Ingredints Portfolio B2B.PDF,Sweetener / Carrier,AWA Food Solutions,AWA Food Solutions,,24 months,,Dextrose Monohydrate-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Dextrose Monohydrate-25kg, food grade industrial ingredient."
236,Fish Collagen,Fish Collagen,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets","Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Protein,AWA Food Solutions,AWA Food Solutions,,24 months,,Fish Collagen,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Fish Collagen, food grade industrial ingredient."
237,Frankfurte casing 24/84,Cellulose Casings,Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Ingreva Cellulose Casing.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Cellulose casing - 23E*84; Cellulose casing - 26E*84; Cellulose casing - 21E*84; Cellulose casing - 28E*84; Smoked casing - 23E*84,Ingreva Cellulose Casing.pdf,Cellulose Casing,AWA Food Additives,Ingreva,,24 months,,Frankfurte casing 24/84,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Frankfurte casing 24/84, food grade industrial ingredient."
238,Garlic Oleoresin 1002,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1003; Garlic Oleoresin 1004; Garlic Oleoresin 1005; Garlic Oleoresin 50/50; Garlic Oleoresin 60/40,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 1002,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 1002, food grade industrial ingredient."
239,Garlic Oleoresin 1003,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1002; Garlic Oleoresin 1004; Garlic Oleoresin 1005; Garlic Oleoresin 50/50; Garlic Oleoresin 60/40,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 1003,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 1003, food grade industrial ingredient."
240,Garlic Oleoresin 1004,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1002; Garlic Oleoresin 1003; Garlic Oleoresin 1005; Garlic Oleoresin 50/50; Garlic Oleoresin 60/40,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 1004,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 1004, food grade industrial ingredient."
241,Garlic Oleoresin 1005,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1002; Garlic Oleoresin 1003; Garlic Oleoresin 1004; Garlic Oleoresin 50/50; Garlic Oleoresin 60/40,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 1005,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 1005, food grade industrial ingredient."
242,Garlic Oleoresin 50/50,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1002; Garlic Oleoresin 1003; Garlic Oleoresin 1004; Garlic Oleoresin 1005; Garlic Oleoresin 60/40,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 50/50,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 50/50, food grade industrial ingredient."
243,Garlic Oleoresin 60/40,Garlic Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: GARLIC Oil (Essential Oils).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Garlic Oleoresin 1001; Garlic Oleoresin 1002; Garlic Oleoresin 1003; Garlic Oleoresin 1004; Garlic Oleoresin 1005; Garlic Oleoresin 50/50,GARLIC Oil (Essential Oils).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Garlic Oleoresin 60/40,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Garlic Oleoresin 60/40, food grade industrial ingredient."
244,Guar gum - 5000 CPS,Guar Gum,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Guar gum - 6000 CPS,Bio Ingredints Portfolio B2B.PDF,Stabilizer / Hydrocolloid,AWA Food Solutions,AWA Food Solutions,,24 months,,Guar gum - 5000 CPS,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Guar gum - 5000 CPS, food grade industrial ingredient."
245,Guar gum - 6000 CPS,Guar Gum,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Guar gum - 5000 CPS,Bio Ingredints Portfolio B2B.PDF,Stabilizer / Hydrocolloid,AWA Food Solutions,AWA Food Solutions,,24 months,,Guar gum - 6000 CPS,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Guar gum - 6000 CPS, food grade industrial ingredient."
246,HAZELNUT PASTE,HAZELNUT PASTE,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,HAZELNUT PASTE,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"HAZELNUT PASTE, food grade industrial ingredient."
247,HAZELNUT PASTE TYPE C,HAZELNUT PASTE TYPE C,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings","Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Food Ingredient,AWA Food Solutions,AWA Food Solutions,,24 months,,HAZELNUT PASTE TYPE C,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"HAZELNUT PASTE TYPE C, food grade industrial ingredient."
248,Lactose-Imported-25kg,Lactose-Imported-25kg,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Bio Ingredints Portfolio B2B.PDF,Sweetener / Carrier,AWA Food Solutions,AWA Food Solutions,,24 months,,Lactose-Imported-25kg,25kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Lactose-Imported-25kg, food grade industrial ingredient."
249,Laurel Oleoresin 1001,Laurel Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,"No, and doesn't have variants",Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Oleoresins (TDS)s.pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Single Product,None,Oleoresins (TDS)s.pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Laurel Oleoresin 1001,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Laurel Oleoresin 1001, food grade industrial ingredient."
