material_id,material_name,product_family,tds_found,industry_level_1,category_level_2,application_level_3,is_primary_application,application_function_details,validation_status
224,Cocoa Powder G100-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
225,Cocoa Powder JB800-25kg,Cocoa Powders & Fats,Not found for any variants,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
225,Cocoa Powder JB800-25kg,Cocoa Powders & Fats,Not found for any variants,Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
225,Cocoa Powder JB800-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
226,Cocoa Powder S9-25kg,Cocoa Powders & Fats,Not found for any variants,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
226,Cocoa Powder S9-25kg,Cocoa Powders & Fats,Not found for any variants,Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
226,Cocoa Powder S9-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
227,Cocoa Powder SL60-25kg,Cocoa Powders & Fats,Not found for any variants,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
227,Cocoa Powder SL60-25kg,Cocoa Powders & Fats,Not found for any variants,Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
227,Cocoa Powder SL60-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
228,Cocoa Powder SP70-25kg,Cocoa Powders & Fats,Not found for any variants,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
228,Cocoa Powder SP70-25kg,Cocoa Powders & Fats,Not found for any variants,Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
228,Cocoa Powder SP70-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
229,Cocoa Powder V98-25kg,Cocoa Powders & Fats,Not found for any variants,Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
229,Cocoa Powder V98-25kg,Cocoa Powders & Fats,Not found for any variants,Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
229,Cocoa Powder V98-25kg,Cocoa Powders & Fats,Not found for any variants,Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
230,Curcumin WS 10 %,Curcumin Natural Color,Not found for any variants,Confectionery,Sugar Confectionery,Hard / Soft Candies,Yes,Brilliant lemon-yellow natural shade with clean sensory profile.,Analyst Proposed
230,Curcumin WS 10 %,Curcumin Natural Color,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Vibrant yellow color in ice creams and dairy custards.,Analyst Proposed
231,Curcumin WS 15 %,Curcumin Natural Color,Not found for any variants,Confectionery,Sugar Confectionery,Hard / Soft Candies,Yes,Brilliant lemon-yellow natural shade with clean sensory profile.,Analyst Proposed
231,Curcumin WS 15 %,Curcumin Natural Color,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Vibrant yellow color in ice creams and dairy custards.,Analyst Proposed
232,Curcumin WS 5 %,Curcumin Natural Color,Not found for any variants,Confectionery,Sugar Confectionery,Hard / Soft Candies,Yes,Brilliant lemon-yellow natural shade with clean sensory profile.,Analyst Proposed
232,Curcumin WS 5 %,Curcumin Natural Color,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Vibrant yellow color in ice creams and dairy custards.,Analyst Proposed
233,Dairy anti foam,Dairy anti foam,"No, and doesn't have variants",Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,Standardized food grade functional ingredient.,Analyst Proposed
234,Dextrose Anhydrous-25kg,Dextrose,Not found for any variants,Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,Yes,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Analyst Proposed
234,Dextrose Anhydrous-25kg,Dextrose,Not found for any variants,Bakery,Cake & Bakery,Sponge Cake & Cookies,No,"Moisture retention, browning, and structural bulk.",Analyst Proposed
235,Dextrose Monohydrate-25kg,Dextrose,Not found for any variants,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",Analyst Proposed
235,Dextrose Monohydrate-25kg,Dextrose,Not found for any variants,Dairy,Butter & Margarine,Table / Industrial Margarine,No,Stabilizes water-in-oil emulsion and controls crystal morphology in shortenings and table spreads.,Analyst Proposed
235,Dextrose Monohydrate-25kg,Dextrose,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,"Promotes fat agglomeration, improves extrusion stiffness, and retards ice crystal growth.",Analyst Proposed
236,Fish Collagen,Fish Collagen,"No, and doesn't have variants",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Yes,"Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",Analyst Proposed
236,Fish Collagen,Fish Collagen,"No, and doesn't have variants",Bakery,Bread & Nutrition,High-Protein Bread & Energy Bars,No,"Enhances dough water absorption, strengthens gluten matrix, and boosts nutritional protein content.",Analyst Proposed
237,Frankfurte casing 24/84,Cellulose Casings,"No, but copied variant",Meat & Poultry,Sausage Casings,Shirred Cellulose Casings,Yes,"High mechanical tensile strength for automated stuffing of hot dogs, frankfurters, and smoked sausages, uniform caliber diameter, optimal smoke permeability, and clean peeling.",Analyst Proposed
238,Garlic Oleoresin 1002,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
238,Garlic Oleoresin 1002,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
238,Garlic Oleoresin 1002,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
239,Garlic Oleoresin 1003,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
239,Garlic Oleoresin 1003,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
239,Garlic Oleoresin 1003,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
240,Garlic Oleoresin 1004,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
240,Garlic Oleoresin 1004,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
240,Garlic Oleoresin 1004,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
241,Garlic Oleoresin 1005,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
241,Garlic Oleoresin 1005,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
241,Garlic Oleoresin 1005,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
242,Garlic Oleoresin 50/50,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
242,Garlic Oleoresin 50/50,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
242,Garlic Oleoresin 50/50,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
243,Garlic Oleoresin 60/40,Garlic Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
243,Garlic Oleoresin 60/40,Garlic Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
243,Garlic Oleoresin 60/40,Garlic Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
244,Guar gum - 5000 CPS,Guar Gum,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,Yes,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",Analyst Proposed
244,Guar gum - 5000 CPS,Guar Gum,Not found for any variants,Bakery,Bread,Sliced Bread / Buns / Rolls,No,Increases dough water absorption and crumb softness.,Analyst Proposed
245,Guar gum - 6000 CPS,Guar Gum,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,Yes,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",Analyst Proposed
245,Guar gum - 6000 CPS,Guar Gum,Not found for any variants,Bakery,Bread,Sliced Bread / Buns / Rolls,No,Increases dough water absorption and crumb softness.,Analyst Proposed
246,HAZELNUT PASTE,HAZELNUT PASTE,"No, and doesn't have variants",Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
246,HAZELNUT PASTE,HAZELNUT PASTE,"No, and doesn't have variants",Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
246,HAZELNUT PASTE,HAZELNUT PASTE,"No, and doesn't have variants",Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
247,HAZELNUT PASTE TYPE C,HAZELNUT PASTE TYPE C,"No, and doesn't have variants",Confectionery,Chocolate,"Compound Chocolate, Pralines & Fillings",Yes,"Imparts rich authentic cocoa/nut flavor, deep coloration, and smooth fat crystallization profile.",Analyst Proposed
247,HAZELNUT PASTE TYPE C,HAZELNUT PASTE TYPE C,"No, and doesn't have variants",Bakery,Cake & Bakery,Cookies / Biscuits / Wafers,No,"Provides flavor and color in chocolate doughs, cookies, and sandwich fillings.",Analyst Proposed
247,HAZELNUT PASTE TYPE C,HAZELNUT PASTE TYPE C,"No, and doesn't have variants",Beverages,Juices & Dairy Drinks,Chocolate Milk / RTD Drinks,No,Suspension stability and rich chocolate taste notes.,Analyst Proposed
248,Lactose-Imported-25kg,Lactose-Imported-25kg,"No, and doesn't have variants",Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,Yes,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Analyst Proposed
248,Lactose-Imported-25kg,Lactose-Imported-25kg,"No, and doesn't have variants",Bakery,Cake & Bakery,Sponge Cake & Cookies,No,"Moisture retention, browning, and structural bulk.",Analyst Proposed
249,Laurel Oleoresin 1001,Laurel Oleoresin,"No, and doesn't have variants",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,Analyst Proposed
249,Laurel Oleoresin 1001,Laurel Oleoresin,"No, and doesn't have variants",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,Analyst Proposed
250,Lemon cloud,Lemon cloud,"No, and doesn't have variants",Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,Yes,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Analyst Proposed
250,Lemon cloud,Lemon cloud,"No, and doesn't have variants",Bakery,Cake & Bakery,Sponge Cake & Cookies,No,"Moisture retention, browning, and structural bulk.",Analyst Proposed
251,Liquid Smoke,Liquid Smoke,"No, and doesn't have variants",Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,Yes,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",Analyst Proposed
252,Locust Bean Gum,Locust Bean Gum,"No, and doesn't have variants",Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,Yes,"Delivers rapid cold hydration, binds free water, and eliminates icy crystal growth.",Analyst Proposed
252,Locust Bean Gum,Locust Bean Gum,"No, and doesn't have variants",Bakery,Bread,Sliced Bread / Buns / Rolls,No,Increases dough water absorption and crumb softness.,Analyst Proposed
253,L-Tartaric Acid China-25kg,L-Tartaric Acid China-25kg,"No, and doesn't have variants",Beverages,Carbonated Drinks,Cola / Carbonated Soft Drinks,Yes,"Provides crisp tart acidity, enhances fruit flavor perception, and regulates formulation pH.",Analyst Proposed
253,L-Tartaric Acid China-25kg,L-Tartaric Acid China-25kg,"No, and doesn't have variants",Dairy,Cheese,Processed Cheese,No,Buffering salt assisting calcium chelation and protein emulsification.,Analyst Proposed
254,Lutein WS 10%,Lutein Natural Color,Not found for any variants,Confectionery,Sugar Confectionery,Hard / Soft Candies,Yes,Brilliant lemon-yellow natural shade with clean sensory profile.,Analyst Proposed
254,Lutein WS 10%,Lutein Natural Color,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Vibrant yellow color in ice creams and dairy custards.,Analyst Proposed
255,Lutein WS 5%,Lutein Natural Color,Not found for any variants,Confectionery,Sugar Confectionery,Hard / Soft Candies,Yes,Brilliant lemon-yellow natural shade with clean sensory profile.,Analyst Proposed
255,Lutein WS 5%,Lutein Natural Color,Not found for any variants,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,Vibrant yellow color in ice creams and dairy custards.,Analyst Proposed
256,Maltodextrine-Local-25kg,Maltodextrine-Local-25kg,"No, and doesn't have variants",Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,Yes,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Analyst Proposed
256,Maltodextrine-Local-25kg,Maltodextrine-Local-25kg,"No, and doesn't have variants",Bakery,Cake & Bakery,Sponge Cake & Cookies,No,"Moisture retention, browning, and structural bulk.",Analyst Proposed
257,Marjoram Oleoresin 1001,Marjoram Oleoresin,"No, and doesn't have variants",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,Analyst Proposed
257,Marjoram Oleoresin 1001,Marjoram Oleoresin,"No, and doesn't have variants",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,Analyst Proposed
258,MEAT FLAVOR S0843603,MEAT FLAVOR S0843603,"No, and doesn't have variants",Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,Yes,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",Analyst Proposed
259,Meat Protein,Meat Protein,"No, and doesn't have variants",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Plant-Based Nuggets",Yes,"Provides meat-like fibrous chewiness, binds fat and water, reduces formulation cost, and builds structure in meat patties and plant-based nuggets.",Analyst Proposed
259,Meat Protein,Meat Protein,"No, and doesn't have variants",Bakery,Bread & Nutrition,High-Protein Bread & Energy Bars,No,"Enhances dough water absorption, strengthens gluten matrix, and boosts nutritional protein content.",Analyst Proposed
260,Non Dairy Creamer,Non Dairy Creamer,"No, and doesn't have variants",Beverages,Instant Drinks & Clouding,Instant RTD Mixes & Cloudy Beverages,Yes,"Provides cloud opacity, mouthfeel creaminess, body, and carrier functionality.",Analyst Proposed
260,Non Dairy Creamer,Non Dairy Creamer,"No, and doesn't have variants",Bakery,Cake & Bakery,Sponge Cake & Cookies,No,"Moisture retention, browning, and structural bulk.",Analyst Proposed
261,Onion Oleoresin 1002,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
261,Onion Oleoresin 1002,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
261,Onion Oleoresin 1002,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
262,Onion Oleoresin 1003,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
262,Onion Oleoresin 1003,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
262,Onion Oleoresin 1003,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
263,Onion Oleoresin 1004,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
263,Onion Oleoresin 1004,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
263,Onion Oleoresin 1004,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
264,Onion Oleoresin 50/50,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
264,Onion Oleoresin 50/50,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
264,Onion Oleoresin 50/50,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
265,Onion Oleoresin 60/40,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
265,Onion Oleoresin 60/40,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
265,Onion Oleoresin 60/40,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
266,Onion Oleoresin 70/30,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
266,Onion Oleoresin 70/30,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
266,Onion Oleoresin 70/30,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
267,Onion Oleoresin 80/20,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
267,Onion Oleoresin 80/20,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
267,Onion Oleoresin 80/20,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
268,Onion Oleoresin 90/10,Onion Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,Analyst Proposed
268,Onion Oleoresin 90/10,Onion Oleoresin,"No, but copied variant",Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,Analyst Proposed
268,Onion Oleoresin 90/10,Onion Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",Analyst Proposed
269,Paprika Oleoresin 1000,Paprika Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Analyst Proposed
269,Paprika Oleoresin 1000,Paprika Oleoresin,"No, but copied variant",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,Analyst Proposed
269,Paprika Oleoresin 1000,Paprika Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,Analyst Proposed
270,Paprika Oleoresin 1001,Paprika Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Analyst Proposed
270,Paprika Oleoresin 1001,Paprika Oleoresin,"No, but copied variant",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,Analyst Proposed
270,Paprika Oleoresin 1001,Paprika Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,Analyst Proposed
271,Paprika Oleoresin 1002,Paprika Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Analyst Proposed
271,Paprika Oleoresin 1002,Paprika Oleoresin,"No, but copied variant",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,Analyst Proposed
271,Paprika Oleoresin 1002,Paprika Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,Analyst Proposed
272,Paprika Oleoresin 1003,Paprika Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Analyst Proposed
272,Paprika Oleoresin 1003,Paprika Oleoresin,"No, but copied variant",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,Analyst Proposed
272,Paprika Oleoresin 1003,Paprika Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,Analyst Proposed
273,Paprika Oleoresin 1004,Paprika Oleoresin,"No, but copied variant",Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Analyst Proposed
273,Paprika Oleoresin 1004,Paprika Oleoresin,"No, but copied variant",Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,Analyst Proposed
273,Paprika Oleoresin 1004,Paprika Oleoresin,"No, but copied variant","Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,Analyst Proposed
